2018-02-12 23:53:45,I liked a @YouTube video https://t.co/WffqU52ayt I THINK SHE IS MOVING IN WITH ME!! 😍 (Apartment Shopping TOGETHER)
2018-02-12 23:53:38,When u need food but hate food shopping
2018-02-12 23:53:33,Ready for #mazingerzinfinity ! @ Woodlands Square Shopping Center https://t.co/jKOw9jXAtE
2018-02-12 23:53:27,Kid if you feel so smug Bout your idiology I'll debate you tommorow on discord. As @AnarchoBro96 is probs to busy f… https://t.co/xgySPM1euU
2018-02-12 23:53:21,@gohawaiica Hawaii is truly paradise on earth!Love the people &amp;beaches &amp;resturants &amp;shopping!Plus always feel total… https://t.co/aYTcJLLSge
2018-02-12 23:53:19,@keviborita y en el Shopping
2018-02-12 23:53:18,"Tag someone that loves it

Welcome to https://t.co/JHDzAxGbXl

#fashion #style #hashtag #beautiful #shopping… https://t.co/sF9JgYZFBl"
2018-02-12 23:53:16,I went with ivory today to go shopping for Valentine’s Day. Made me want to be in a relationship 😪
2018-02-12 23:53:06,"@NBCNews All this digital stuff, and online shopping, is killing our stores, jobs and community services/amenities.… https://t.co/GdRqxp32Ex"
2018-02-12 23:53:05,"@mama_midlife @AMDWaters Where's my slave?Geez.Must ne a magic fairy.Sure wish they'd show up so all my shopping,wo… https://t.co/9kY7ThccJ0"
2018-02-12 23:53:04,🇺🇸  Please Re-Tweet - FOR SALE – Buy #American Flags - Made in #USA -  https://t.co/6UNoRtXX4G  - #Patriotic Gear &amp;… https://t.co/qvIt6P9DOH
2018-02-12 23:53:03,"After hours shopping, tea and treats. 
Give the gift of downtown NB! 
#DNByourvalentine https://t.co/2Xles0HvrT"
2018-02-12 23:53:03,Shopping day〜♪♪😘Love @WestfieldCC @Bloomingdales 😆💕🛍👙🌴🚘😘beverlyhils @BarneysNY https://t.co/JNemsgUSnQ
2018-02-12 23:53:01,Valentine’s shopping for my lady and my daughter tomorrow 😘
2018-02-12 23:53:00,Gonna start going truck shopping next week when I go home for days off!!! 😬😬😬😬🙌
2018-02-12 23:52:59,Catman: Walmart is building a Tinder for grocery shopping https://t.co/zg8ltUefgq
2018-02-12 23:52:54,"online shopping is like eating chips and salsa, once you start you can't stop"
2018-02-12 23:52:52,"""What happened to our wetlands? Our Indiana population and needs have grown. We have developments, agriculture, sho… https://t.co/V67hb3DkWv"
2018-02-12 23:52:42,"After school on Wednesdays I went to the local shopping center, bought a bubble tea and spent 10 dollars playing te… https://t.co/7A3jNJGxhq"
2018-02-12 23:52:34,I wanna go shopping so bad 😣😣😣
2018-02-12 23:52:30,Going food shopping at sams club will have the back of your car dragging 😂😂😂
2018-02-12 23:52:28,@nadiajadex Tell me about it need banning from shopping hate myself
2018-02-12 23:52:26,I liked a @YouTube video https://t.co/jOySmgjejh G-Eazy Goes Sneaker Shopping with Complex
2018-02-12 23:52:26,"I'm at Cs Club Amazonas Shopping in Manaus, AM https://t.co/N2EgoE1v7O"
2018-02-12 23:52:24,I’m gaining weight so online shopping is going to be so hard
2018-02-12 23:52:17,Shopping solves every problem
2018-02-12 23:52:15,"@CorbeilFran @ian_elstub @shopping @nordstorms Oh my Gasperations at that madness, 

No that would come from @Buckle  and @HarleyDavidson"
2018-02-12 23:52:13,"Okay, gotta call my insurance company AND I gotta go shopping tonight for shit for the apt. Smh..... adulting like a mf."
2018-02-12 23:52:10,Taking boys shopping for longer than 5 minutes is such a mission
2018-02-12 23:52:08,"Spreading #love like #peanutbutter 🥜😋❤️
👉🏽Sharing my nut butter shopping tips with you (This… https://t.co/JBFIRr2Gz1"
2018-02-12 23:52:07,"Watching Halsey’s and Bella Hadid’s sneaker shopping on Complex and like, yaaasssss"
2018-02-12 23:52:02,Healthy #Cooking Fact: frozen #vegetables are always available and nutritious: https://t.co/CkF6pHPipG https://t.co/zwb39J83T6
2018-02-12 23:51:59,@paulkrugman pau its tantamount to collecting coupons for when you go shopping ...waldbaums says look collect our c… https://t.co/ZOUpB1K8lC
2018-02-12 23:51:53,Sign up for Coastal Scents weekly makeup shopping spree giveaway! https://t.co/xCjfSjNZ5Y
2018-02-12 23:51:46,@Hippopeteamus @vanbadham That’s not dialogue. That’s a shopping list.
2018-02-12 23:51:32,I wonder if my daddy would bring me grocery shopping tomorrow
2018-02-12 23:51:30,"Who wanna go grocery shopping for me some healthy shit for lunches, this week? I'll pay you."
2018-02-12 23:51:30,"Roses are red, Violets are blue...if you aren’t shopping at Target for Valentine’s Day....then boohoo on you!❤️… https://t.co/5lbNDrkrC9"
2018-02-12 23:51:29,I gotta stop treating myself to shopping sprees every few days 🤦🏽‍♀️
2018-02-12 23:51:28,@Walmart so tell me how accurate your website is again. I was just there and there’s probably 30-40 pops but accord… https://t.co/1g7vDGyfYF
2018-02-12 23:51:27,I have an online shopping addiction
2018-02-12 23:51:26,When shopping for sunglasses my main concern is how effective they are at hiding the fact that I’m drunk
2018-02-12 23:51:22,@ashleyjoyhowell Can we go shopping instead?
2018-02-12 23:51:21,"@JillianMichaels I do well shopping, but then office snacks happen! If I bring my own,then I eat my own AND some ju… https://t.co/N0hdaeeIH6"
2018-02-12 23:51:19,When I ask you if your product does this or that be afraid. It means I’ve shopped you &amp; have sourced your good some… https://t.co/kFw9eviUlm
2018-02-12 23:51:08,Groceries shopping early in the morning 😋
2018-02-12 23:51:08,He always make shopping difficult 🙄
2018-02-12 23:51:06,Blgr: Williams Sonoma's Peter Rabbit Collection Is Seriously Adorable — Shopping News https://t.co/rprrTl0Xc6 #eatwell
2018-02-12 23:51:06,Camera Found In Store Fitting Room At Stoneridge Shopping Center https://t.co/7eCMF7VX6C
2018-02-12 23:51:00,Free and easy to print coupons @Fortheloveto save money on your everyday shopping 🛒 ⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️ https://t.co/ep2LJeVLOU
2018-02-12 23:50:54,"me, broke and just went shopping a week ago: i need to go shopping, i deserve it"
2018-02-12 23:50:53,@entobird @moogirlfriend Damn i need to go shopping like that. Vests look so good!! And you pull it off
2018-02-12 23:50:50,🏠  Home Business - https://t.co/1J9lRhPgcT - #Work Online at Home - #Online #Businesses - Social Media #Jobs https://t.co/MCCDpo8LoW
2018-02-12 23:50:48,"Valentine Game ...

😉Wife gave 🎲 dice to Husband &amp; said: ""If u get 1, 2, 3, 4 or 5 *You take me for shopping*""Husba… https://t.co/atJ9oI1CAs"
2018-02-12 23:50:42,Youre a piece of shit if you leave your shopping cart in the middle of the parking lot
2018-02-12 23:50:41,can i pls stop being my own enabler and deLETE THE IG ACCOUNT I MADE SOLELY FOR SHOPPING 😫
2018-02-12 23:50:41,When I wake up late and my parents in the car going shopping without me: https://t.co/XWObgNwZyT
2018-02-12 23:50:38,You know what’s a great way to end a Monday? Shopping (and ogling all the beautiful beer packaging) @JungleJimsMrkt. https://t.co/Evrp4NVFIe
2018-02-12 23:50:38,My mans pushed the shopping cart I’m dead😂😂 https://t.co/nB7PiYFhpV
2018-02-12 23:50:38,@OANN Food stamps and welfare it’s out of control makes me sick when I go shopping and see must people healthy as a… https://t.co/VXPgMARkKl
2018-02-12 23:50:37,@Brazy_Brian Btw thanks for the shopping spree 😘 oops
2018-02-12 23:50:34,@lattedottie And when you get back from shopping. You need to have two other girls with you. With the shit 💯
2018-02-12 23:50:30,I saved $17 grocery shopping today don’t tell me shit bout adulting YA HEARD
2018-02-12 23:50:26,"@GiantessNyx Thank you!! I wish I could take more credit for that! 

Did some asset shopping earlier this week and… https://t.co/kbLpKqlvEj"
2018-02-12 23:50:15,my shopping club: https://t.co/oJx7S9T63D via @YouTube
2018-02-12 23:50:09,Williams Sonoma's Peter Rabbit Collection Is Seriously Adorable — Shopping News https://t.co/3AiKRdeR4W #staffpicks #feedly
2018-02-12 23:50:09,Wholesale Lot of 4 Replacement Sofa Legs https://t.co/KmYGVDvxMB @eBay #SEO #Marketing #shopsmall #SmallBusiness… https://t.co/Q5KSDMf3QS
2018-02-12 23:50:01,Only reason I’m agreeing to extend my shifts is to prep for Chicago shopping 🤑
2018-02-12 23:49:59,I liked a @YouTube video https://t.co/HPgvKMdnd9 lil peep 'she said' pt 2 + 'star shopping' live in los angeles (cowys tour)
2018-02-12 23:49:57,"I'm at Shopping @Neumarkt in Blumenau, SC https://t.co/zmcZySp8Nf"
2018-02-12 23:49:56,@Kit_Raff There's also a food court at Shopping Town Mall. They have a @tacobell and everything.
2018-02-12 23:49:52,I wanna nap but then again i wanna go shopping 🙃🙃
2018-02-12 23:49:51,Shopping https://t.co/Le0gcWi7Qe
2018-02-12 23:49:50,is it just me or when you're shopping there is always someone blocking exactly what you're looking for
2018-02-12 23:49:49,"If you're #shopping for a new #car #truck #SUV or #CUV, you have to check out the 2018 Toyota lineup. 

We have the… https://t.co/OVDYKlTfMb"
2018-02-12 23:49:49,@Inked1BNA @ian_elstub @shopping @nordstorms does Nordstroms  have a biker leather and chains collection🤗
